fecha,recuperados
2020-03-17,1
2020-03-18,3
2020-03-19,5
2020-03-20,6
2020-03-21,8
2020-03-22,8
2020-03-23,11
2020-03-24,17
2020-03-25,22
2020-03-26,33
2020-03-27,43
2020-03-28,61
2020-03-29,75
2020-03-30,156
2020-04-01,234
2020-04-02,335
2020-04-03,427
2020-04-04,528
2020-04-05,528
2020-04-06,728
2020-04-07,898
2020-04-08,1115
2020-04-09,1274
2020-04-10,1571
2020-04-11,1864
2020-04-12,2059
2020-04-13,2367
2020-04-14,2646
2020-04-15,2937
2020-04-16,3299
2020-04-17,3621
2020-04-18,4035
2020-04-19,4338
2020-04-20,4476
2020-04-21,4969
2020-04-22,5386
2020-04-23,5804
2020-04-24,6327
2020-04-25,6746
2020-04-26,7024
2020-04-27,7327
