fecha,region,casos,fallecidos
2020-03-03,Maule,1,0
2020-03-04,Metropolitana,1,0
2020-03-04,Maule,2,0
2020-03-05,Metropolitana,2,0
2020-03-05,Maule,2,0
2020-03-06,Metropolitana,3,0
2020-03-06,Maule,2,0
2020-03-07,Metropolitana,4,0
2020-03-07,Maule,2,0
2020-03-07,Los Lagos,1,0
2020-03-08,Metropolitana,6,0
2020-03-08,Maule,3,0
2020-03-08,Los Lagos,1,0
2020-03-09,Metropolitana,7,0
2020-03-09,Maule,4,0
2020-03-09,Biobío,1,0
2020-03-09,Los Lagos,1,0
2020-03-10,Metropolitana,10,0
2020-03-10,Maule,5,0
2020-03-10,Biobío,1,0
2020-03-10,Los Lagos,1,0
2020-03-11,Metropolitana,14,0
2020-03-11,Maule,7,0
2020-03-11,Biobío,1,0
2020-03-11,Los Lagos,1,0
2020-03-12,Metropolitana,23,0
2020-03-12,Maule,7,0
2020-03-12,Ñuble,1,0
2020-03-12,Biobío,1,0
2020-03-12,Los Lagos,1,0
2020-03-13,Metropolitana,29,0
2020-03-13,Maule,8,0
2020-03-13,Ñuble,2,0
2020-03-13,Biobío,3,0
2020-03-13,Los Lagos,1,0
2020-03-14,Antofagasta,2,0
2020-03-14,Atacama,1,0
2020-03-14,Metropolitana,40,0
2020-03-14,Maule,9,0
2020-03-14,Ñuble,4,0
2020-03-14,Biobío,3,0
2020-03-14,Los Lagos,1,0
2020-03-14,Aysén,1,0
2020-03-15,Antofagasta,2,0
2020-03-15,Atacama,1,0
2020-03-15,Metropolitana,54,0
2020-03-15,Maule,9,0
2020-03-15,Ñuble,4,0
2020-03-15,Biobío,3,0
2020-03-15,Los Lagos,1,0
2020-03-15,Aysén,1,0
2020-03-16,Antofagasta,2,0
2020-03-16,Atacama,1,0
2020-03-16,Valparaíso,1,0
2020-03-16,Metropolitana,123,0
2020-03-16,Maule,9,0
2020-03-16,Ñuble,12,0
2020-03-16,Biobío,4,0
2020-03-16,Araucanía,1,0
2020-03-16,Los Ríos,1,0
2020-03-16,Los Lagos,1,0
2020-03-16,Aysén,1,0
2020-03-17,Antofagasta,2,0
2020-03-17,Atacama,1,0
2020-03-17,Valparaíso,1,0
2020-03-17,Metropolitana,152,0
2020-03-17,Maule,9,0
2020-03-17,Ñuble,26,0
2020-03-17,Biobío,4,0
2020-03-17,Araucanía,1,0
2020-03-17,Los Ríos,1,0
2020-03-17,Los Lagos,1,0
2020-03-17,Aysén,1,0
2020-03-17,Magallanes,2,0
2020-03-18,Antofagasta,2,0
2020-03-18,Atacama,1,0
2020-03-18,Valparaíso,1,0
2020-03-18,Metropolitana,174,0
2020-03-18,Maule,11,0
2020-03-18,Ñuble,26,0
2020-03-18,Biobío,7,0
2020-03-18,Araucanía,4,0
2020-03-18,Los Ríos,1,0
2020-03-18,Los Lagos,8,0
2020-03-18,Aysén,1,0
2020-03-18,Magallanes,2,0
2020-03-19,Arica y Parinacota,1,0
2020-03-19,Antofagasta,2,0
2020-03-19,Atacama,1,0
2020-03-19,Coquimbo,2,0
2020-03-19,Valparaíso,4,0
2020-03-19,Metropolitana,247,0
2020-03-19,O’Higgins,2,0
2020-03-19,Maule,14,0
2020-03-19,Ñuble,28,0
2020-03-19,Biobío,14,0
2020-03-19,Araucanía,7,0
2020-03-19,Los Ríos,1,0
2020-03-19,Los Lagos,16,0
2020-03-19,Aysén,1,0
2020-03-19,Magallanes,2,0
2020-03-20,Arica y Parinacota,1,0
2020-03-20,Antofagasta,6,0
2020-03-20,Atacama,1,0
2020-03-20,Coquimbo,3,0
2020-03-20,Valparaíso,5,0
2020-03-20,Metropolitana,304,0
2020-03-20,O’Higgins,6,0
2020-03-20,Maule,14,0
2020-03-20,Ñuble,44,0
2020-03-20,Biobío,19,0
2020-03-20,Araucanía,9,0
2020-03-20,Los Ríos,1,0
2020-03-20,Los Lagos,18,0
